,0,1,2,3,4
189,-2,-2,0,1,1
190,-2,-2,0,1,1
191,-2,-2,0,1,1
192,-2,-2,0,1,1
193,-2,-2,0,1,1
194,-3,-3,0,1,1
195,-3,-3,0,1,1
196,-3,-3,0,1,1
197,-3,-3,0,1,1
198,-3,-3,0,1,1
199,-3,-3,0,1,1
200,-3,-3,0,1,1
201,-3,-3,0,1,1
202,-3,-3,0,1,1
203,-3,-3,0,1,1
204,-3,-3,0,1,1
205,-3,-3,0,1,1
206,-3,-3,0,1,1
207,-4,-4,0,1,1
208,-4,-4,0,1,1
209,-4,-4,0,1,1
210,-4,-4,0,1,1
211,-4,-4,0,1,1
212,-4,-4,0,1,1
213,-4,-4,0,1,1
214,-4,-4,0,1,1
215,-4,-4,0,1,1
216,-4,-4,0,1,1
217,-4,-4,0,1,1
218,-4,-4,0,1,1
219,-4,-4,0,1,1
220,-4,-4,0,1,1
221,-5,-5,0,1,1
222,-5,-5,0,1,1
223,-5,-5,0,1,1
224,-5,-5,0,1,1
225,-5,-5,0,1,1
226,-5,-5,0,1,1
227,-5,-5,0,1,1
228,-5,-5,0,1,1
229,-5,-5,0,1,1
230,-5,-5,0,1,1
231,-5,-5,0,1,1
232,-5,-5,0,1,1
233,-5,-5,0,1,1
234,-6,-6,0,1,1
235,-6,-6,0,1,1
236,-6,-6,0,1,1
237,-6,-6,0,1,1
238,-6,-6,0,1,1
239,-6,-6,0,1,1
240,-6,-6,0,1,1
241,-6,-6,0,1,1
242,-6,-6,0,1,1
243,-6,-6,0,1,1
244,-6,-6,0,1,1
245,-6,-6,0,1,1
246,-6,-6,0,1,1
247,-7,-7,0,1,1
248,-7,-7,0,1,1
249,-7,-7,0,1,1
250,-7,-7,0,1,1
251,-7,-7,0,1,1
252,-7,-7,0,1,1
253,-7,-7,0,1,1
254,-7,-7,0,1,1
255,-7,-7,0,1,1
256,-7,-7,0,1,1
257,-7,-7,0,1,1
258,-7,-7,0,1,1
259,-7,-7,0,1,1
260,-7,-7,0,1,1
261,-8,-8,0,1,1
262,-8,-8,0,1,1
263,-8,-8,0,1,1
264,-8,-8,0,1,1
265,-8,-8,0,1,1
266,-8,-8,0,1,1
267,-8,-8,0,1,1
268,-8,-8,0,1,1
269,-8,-8,0,1,1
270,-8,-8,0,1,1
271,-8,-8,0,1,1
272,-8,-8,0,1,1
273,-8,-8,0,1,1
274,-9,-9,0,1,1
275,-9,-9,0,1,1
276,-9,-9,0,1,1
277,-9,-9,0,1,1
278,-9,-9,0,1,1
279,-9,-9,0,1,1
280,-9,-9,0,1,1
281,-9,-9,0,1,1
282,-9,-9,0,1,1
283,-9,-9,0,1,1
284,-9,-9,0,1,1
285,-9,-9,0,1,1
286,-9,-9,0,1,1
287,-10,-10,0,1,1
288,-10,-10,0,1,1
289,-10,-10,0,1,1
290,-10,-10,0,1,1
291,-10,-10,0,1,1
292,-10,-10,0,1,1
293,-10,-10,0,1,1
294,-10,-10,0,1,1
295,-10,-10,0,1,1
296,-10,-10,0,1,1
297,-10,-10,0,1,1
298,-10,-10,0,1,1
299,-10,-10,0,1,1
